Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Male,"George Philip ""Phil""•Bryant",Phil•Bryant,"22 February 1878 in Melrose, Massachusetts (USA)","18 April 1938 in Marshfield, Massachusetts (USA)",United States,2225,,"Boston Archery Club, Boston (USA)",,,,,,
Competed in Olympic Games,Male,Wallace•Bryant,Wallace•Bryant,"19 December 1863 in Melrose, Massachusetts (USA)","2 May 1953 in Gloucester, Massachusetts (USA)",United States,2226,169 cm,"Boston Archery Club, Boston (USA)",,,,,,
Competed in Olympic Games,Male,"Richard Andrew ""Butch""•Johnson",Butch•Johnson,"30 August 1955 in Worcester, Massachusetts (USA)",,United States,2235,191 cm / 98 kg,,,,,,,
Competed in Olympic Games,Male,Henry Barber•Richardson,Henry•Richardson,"19 May 1889 in Boston, Massachusetts (USA)","19 November 1963 in New York, New York (USA)",United States,2244,,"Boston Archery Club, Boston (USA)",,,,,,
Competed in Olympic Games,Male,Homer Slate•Taylor,Homer•Taylor,"19 August 1851 in Leyden, Massachusetts (USA)","7 January 1933 in Greenfield, Massachusetts (USA)",United States,2247,,"Chicago Archers, Chicago (USA)",,,,,,
Competed in Olympic Games,Male,Edgar Welch•Leonard,Edgar•Leonard,"19 June 1881 in West Newton, Massachusetts (USA)","7 October 1948 in New York, New York (USA)",United States,2772,,,,,,,,
Competed in Olympic Games,Male,"Timothy Spencer ""Tim""•Mayotte",Tim•Mayotte,"3 August 1960 in Springfield, Massachusetts (USA)",,United States,2774,190 cm / 83 kg,,Gentleman Tim,,,,,
Competed in Olympic Games,Male,Beals Coleman•Wright,Beals•Wright,"19 December 1879 in Boston, Massachusetts (USA)","23 August 1961 in Alton, Illinois (USA)",United States,2804,,,,,,,,
Competed in Olympic Games,Male,Michael Anthony•Tucker,Michael•Tucker,"25 June 1971 in South Boston, Massachusetts (USA)",,United States,3251,188 cm / 84 kg,Longwood College,,,,,,
Competed in Olympic Games,Female,Medina•Dixon,Medina•Dixon,"2 November 1962 in Boston, Massachusetts (USA)",8 November 2021,United States,5212,190 cm / 75 kg,"Nippon Electric, Tokyo (JPN)",,,,,,
